trial,type,season,release,loc,geno,harvest,rep,row,column,nops,noph,vw,nocr,crw,ncrw,trw
HUA-ST01,check,2019A,NA,Huaral,Cemsa,90 days,1,1,1,120,105,104.88,333,71.7,4.68,76.38
HUA-ST01,variety,2019A,2014,Huaral,PZ06.120,90 days,1,1,2,120,112,91.1,148,22.75,17.26,40.01
HUA-ST01,variety,2019A,2014,Huaral,Sumi,90 days,1,1,3,120,117,137.37,138,24.93,17.28,42.21
HUA-ST01,variety,2019A,2010,Huaral,Benjamin,90 days,1,1,4,120,102,93.77,326,81.72,11.05,92.77
HUA-ST01,check,2019A,NA,Huaral,Dagga,90 days,1,1,5,120,94,102.02,248,78.26,6.01,84.27
HUA-ST01,variety,2019A,2010,Huaral,Adriano,90 days,1,2,1,120,113,119.85,195,33.39,10.52,43.91
HUA-ST01,variety,2019A,2010,Huaral,Alexander,90 days,1,2,2,120,107,61.25,190,47.97,4.48,52.45
HUA-ST01,variety,2019A,2014,Huaral,Abigail,90 days,1,2,3,120,108,86.35,239,62.5,10.78,73.28
HUA-ST01,variety,2019A,1992,Huaral,Tacna,90 days,1,2,4,120,106,77.07,83,11.06,6.41,17.47
HUA-ST01,variety,2019A,1992,Huaral,Caplina,90 days,1,2,5,120,93,124.65,20,2.57,2.08,4.65
HUA-ST01,variety,2019A,2014,Huaral,Isabel,90 days,1,3,1,120,115,90.97,175,31.63,7.84,39.47
HUA-ST01,variety,2019A,2000,Huaral,Milagrosa,90 days,1,3,2,120,117,93.16,35,5.34,16.1,21.44
HUA-ST01,variety,2019A,2001,Huaral,INA-100,90 days,1,3,3,120,116,99.25,78,13.06,7.36,20.42
HUA-ST01,check,2019A,2014,Huaral,Salyboro,90 days,1,3,4,120,109,129.46,71,13.39,5.25,18.64
HUA-ST01,variety,2019A,1992,Huaral,Atacama,90 days,1,3,5,120,99,173.51,46,8.88,2.49,11.37
HUA-ST01,variety,2019A,1992,Huaral,Costanero,90 days,1,4,1,120,112,131.56,81,16.23,7.09,23.32
HUA-ST01,variety,2019A,2010,Huaral,Arne,90 days,1,4,2,120,111,82.07,340,66.93,14.39,81.32
